isbn|title|description|authorId
863409667-X|Devil's Pond|August (Elokuu) |97
264235593-4|Delirious|Lantana|66
416779530-2|Watch Out for the Automobile (Beregis avtomobilya)|Slumdog Millionaire|100
590692169-9|Ruins|Dear John|12
276389299-X|The Evictors|Reign Over Me|24
503324087-0|Phar Lap|Tigger Movie, The|54
613987260-X|Da Vinci Code, The|Mouse Hunt|71
542533070-7|The Circle|Mad Monster Party?|97
344458367-2|Pepi, Luci, Bom (Pepi, Luci, Bom y Otras Chicas del Montón)|Dread|39
980142329-3|Purple Rose of Cairo, The|Pipe Dream|89
945296144-9|Ghost Son|American Dream|64
834555329-X|As Good as Dead|Substitute, The|6
944062543-0|I Feel Sleepy|Yrrol: An Enormously Well Thought Out Movie (Yrrol - en kolossalt genomtänkt film)|58
331179825-2|Trances|Soapdish|5
716227633-4|Little Voice|Lemonade Joe (Limonádový Joe aneb Konská opera)|45
717049654-2|Boots and Saddles|Crimson Permanent Assurance, The|57
863464380-8|Comme les 5 doigts de la main|Attack of the 5 Ft. 2 Women (National Lampoon's Attack of the 5 Ft 2 Woman)|60
948052509-7|Pure Formality, A (Pura formalità, Una)|Spider|54
997522456-3|588 Rue Paradis (Mother)|Death of a Salesman|37
240372208-1|Police|Lost World, The|4
240909324-8|Everyday Sunshine:  The Story of Fishbone|Tamara|31
019600377-6|Happiness Never Comes Alone (Un bonheur n'arrive jamais seul)|Yes Or No|43
748241561-0|The Left Handed Gun|Reaching for the Moon|61
862650500-0|Jubilation Street|Lone Star|22
260495609-8|Adventures of Prince Achmed, The (Abenteuer des Prinzen Achmed, Die)|Yearling, The|42
238263374-3|Left Luggage|Iron Ladies, The (Satree lek)|2
951159256-4|Salon Kitty|Moordwijven|9
504618014-6|Beyond Silence (Jenseits der Stille)|Shopworn Angel, The|5
115663956-5|Last Summer of La Boyita, The (El último verano de la Boyita)|Lost World, The|86
809554436-1|I Saw the Devil (Akmareul boatda)|Confessions of a Driving Instructor|15
119913454-6|RKO 281|Where the Buffalo Roam|100
883886032-7|Trois|Ransom (a.k.a. The Terrorists)|84
744270865-X|Wall Street|Jar City (Mýrin)|61
939790309-8|Kukuli|1066|46
853350396-2|Detour|Poison Ivy II|60
202352819-4|Christmas Toy, The|Girl 27|78
017034465-7|Insect Woman, The (Nippon konchûki)|Haunted|62
756010372-3|Carless Love|Shanghai Noon|53
417831181-6|Ouija|Pot O' Gold|70
570415948-6|Fire-Eater (Tulennielijä)|Basic|74
316506018-5|No Way Home|Long Day's Journey Into Night|21
337281130-5|High Spirits|Fast Food|81
562854094-3|Barbarella|Knot, The|45
844643688-4|Blood Money|Black Moon|2
599895430-0|Taifu Club (Taifû kurabu)|Family Way|26
014158225-1|Pull My Daisy|Cherry Falls|79
689533492-0|Bo Burnham: Words, Words, Words|Signs|74
951710442-1|Puncture|Diving In|64
433069201-5|PT 109|House of Dark Shadows|23
198075105-6|Árido Movie|Pippi on the Run (På rymmen med Pippi Långstrump)|21
606702621-X|Alive|Back to the Beach|78
164703880-4|Men in White|Scooby-Doo! Camp Scare|61
492017897-2|Kolberg|The Raid: Redemption|1
575181614-5|Derailed|Täynnä Tarmoa|36
439120693-5|Scrooged|Battleground|64
951530411-3|Beautiful Thing|Letter from Siberia|64
842754574-6|Anaconda III|Blackboards (Takhté Siah)|73
222257665-2|Proposal, The|Mount Head (Atama yama)|17
860359964-5|Romy and Michele's High School Reunion|Sassy Pants|66
987618450-4|Two Days, One Night (Deux jours, une nuit)|Raising Victor Vargas|10
785437295-0|Mudhoney|Being John Malkovich|98
190157291-9|Dragon Ball Z: Battle of Gods|Adventures of Mark Twain, The|70
756032617-X|Say Anything...|Dickie Roberts: Former Child Star|4
090750356-X|John Doe: Vigilante|We Need to Talk About Kevin|42
928856222-2|Crimes of Passion|Christmas Carol, A|6
513916470-1|Cassandra Crossing, The|Without a Paddle: Nature's Calling|54
009325575-6|Unexpected Love, An|Playing for Time|66
344624899-4|White Angel, The (L'angelo bianco)|I Wish (Kiseki)|42
367989314-0|Hardcore|Invisible Target (Naam yi boon sik)|20
809860713-5|Rosalie Goes Shopping|The Last Journey|93
066003055-1|Majesteit|Pandaemonium|3
948746450-6|Kill Me Again|Lifeguard, The|55
677338850-3|Killer's Kiss|Waist Deep|98
778545946-0|Friday the 13th|Joy Luck Club, The|81
801200576-X|Calamari Union|Born Losers, The|83
346166488-X|Kiss, The|Arrival, The|52
559716284-5|Zoo|Sun Valley Serenade|12
550536394-6|Bridges of Madison County, The|Hemingway & Gellhorn|36
167828370-3|Big House, The|Nights of Cabiria (Notti di Cabiria, Le)|74
487565647-5|Canvas|King's Game (Kongekabale)|28
746423007-8|Darwin Awards, The|Mouse on the Moon, The|64
735824179-7|Cool Ones, The|Little Nemo: Adventures in Slumberland|80
066716138-4|Jubal|White Mischief|32
219866586-7|Legend of the Eight Samurai (Satomi hakken-den)|Mass Appeal|18
204274746-7|Wog Boy, The|Living in Emergency: Stories of Doctors Without Borders|64
793820846-9|Phase 7|Hitch|70
738512685-5|Femme Fatale|Lasa y Zabala|41
801217386-7|Monty Python Live at the Hollywood Bowl|In a Dark Place|24
795147635-8|Burning Bright|Ninja Scroll (Jûbei ninpûchô)|86
509667887-3|Apple, The (Sib)|Howl's Moving Castle (Hauru no ugoku shiro)|92
414215787-6|Saving Mr. Banks|Trouble with Girls, The|90
871657184-3|Clara's Heart|Homer & Eddie|69
905755392-9|May I Kill U?|I've Loved You So Long (Il y a longtemps que je t'aime)|58
329377501-2|Somebody is Waiting|Nibelungen: Siegfried, Die|7
028235687-8|Veronika Voss (Sehnsucht der Veronika Voss, Die)|Zatoichi's Pilgrimage (Zatôichi umi o wataru) (Zatôichi 14)|81
559046531-1|Tiger of Eschnapur, The (Tiger von Eschnapur, Der)|Santa Claus Is a Stinker (Le Père Noël est une ordure)|56
455820707-7|Vida precoz y breve de Sabina Rivas, La (Precocious and Brief Life of Sabina Rivas, The)|Pete Seeger: The Power of Song|21
595473167-5|Mackintosh Man, The|Demonlover|23
133341176-6|Snowmageddon|Floundering|41
200063148-7|Day of the Triffids, The|Werner - Volles Rooäää|10
942638189-9|Regular Guys (Echte Kerle)|Revisionaries, The|60
394307361-0|Institute Benjamenta, or This Dream People Call Human Life|Tattoo|60
598840322-0|Unknown Woman, The (Tuntematon emäntä)|Crime Wave|49
670906733-5|Charlie Victor Romeo|Goya: Crazy Like a Genius|44
374518606-0|Megan Is Missing|Backwood Philosopher (Havukka-ahon ajattelija)|87
517103387-0|Opera Jawa|Madonna: Truth or Dare|49
987140995-8|Package, The|Jimmy's Hall|89
405703119-7|Perfect Man, The|Candles on Bay Street |56
126545551-1|River Why, The|Trouble at Timpetill (Enfants de Timpelbach, Les)|6
083936423-7|Queens Logic|Her Highness and the Bellboy|97
471583950-4|Night of the Living Dorks|Amsterdamned|61
248762479-5|Walk, Don't Run|Richard III|89
514552006-9|Emmet Otter's Jug-Band Christmas|Time Stood Still (Il tempo si è fermato)|49
378681406-6|Elegy|Peculiarities of the National Hunt (Osobennosti natsionalnoy okhoty) |16
836168189-2|Call Me Crazy: A Five Film|Green Mile, The|31
626529638-8|Film ist a Girl & a Gun|Stealing Time (a.k.a. Rennie's Landing)|11
344512236-9|Rocky II|Back to 1942 |18
914245775-0|Brothers|My Friend Flicka|55
053984025-4|North Star, The|Tropico|30
057763741-X|Cleopatra|Beatdown|48
